# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1)   0.384 us    |                      unlink_anon_vmas();
 1)               |                      unlink_file_vma() {
 1)   0.709 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.516 us    |                          vma_interval_tree_remove();
 1)   1.248 us    |                        }
 1)   0.373 us    |                        up_write();
 1)   3.806 us    |                      }
 1)   0.384 us    |                      unlink_anon_vmas();
 1)               |                      unlink_file_vma() {
 1)   0.577 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.852 us    |                          vma_interval_tree_remove();
 1)   1.608 us    |                        }
 1)   0.361 us    |                        up_write();
 1)   4.010 us    |                      }
 1)   0.372 us    |                      unlink_anon_vmas();
 1)               |                      unlink_file_vma() {
 1)   0.372 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.660 us    |                          vma_interval_tree_remove();
 1)   1.356 us    |                        }
 1)   0.372 us    |                        up_write();
 1)   3.470 us    |                      }
 1)               |                      unlink_anon_vmas() {
 1)   0.372 us    |                        down_write();
 1)   0.540 us    |                        anon_vma_interval_tree_remove();
 1)   0.420 us    |                        kmem_cache_free();
 1)   0.360 us    |                        up_write();
 1)   3.697 us    |                      }
 1)               |                      unlink_file_vma() {
 1)   0.373 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.408 us    |                          vma_interval_tree_remove();
 1)   1.116 us    |                        }
 1)   0.372 us    |                        up_write();
 1)   3.230 us    |                      }
 1)               |                      unlink_anon_vmas() {
 1)   0.372 us    |                        down_write();
 1)   0.384 us    |                        anon_vma_interval_tree_remove();
 1)   0.373 us    |                        up_write();
 1)               |                        __put_anon_vma() {
 1)   0.408 us    |                          kmem_cache_free();
 1)   1.128 us    |                        }
 1)   0.384 us    |                        kmem_cache_free();
 1)   4.754 us    |                      }
 1)               |                      unlink_file_vma() {
 1)   0.372 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.577 us    |                          vma_interval_tree_remove();
 1)   1.261 us    |                        }
 1)   0.360 us    |                        up_write();
 1)   3.373 us    |                      }
 1)               |                      unlink_anon_vmas() {
 1)   0.373 us    |                        down_write();
 1)   0.456 us    |                        anon_vma_interval_tree_remove();
 1)   0.360 us    |                        up_write();
 1)               |                        __put_anon_vma() {
 1)   0.396 us    |                          kmem_cache_free();
 1)   1.105 us    |                        }
 1)   0.396 us    |                        kmem_cache_free();
 1)   4.994 us    |                      }
 1)   0.373 us    |                      unlink_file_vma();
 1)   0.372 us    |                      unlink_anon_vmas();
 1)               |                      unlink_file_vma() {
 1)   0.456 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   1.044 us    |                          vma_interval_tree_remove();
 1)   1.777 us    |                        }
 1)   0.360 us    |                        up_write();
 1)   4.274 us    |                      }
 1)   0.384 us    |                      unlink_anon_vmas();
 1)               |                      unlink_file_vma() {
 1)   0.372 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.636 us    |                          vma_interval_tree_remove();
 1)   1.320 us    |                        }
 1)   0.372 us    |                        up_write();
 1)   3.433 us    |                      }
 1)               |                      unlink_anon_vmas() {
 1)   0.372 us    |                        down_write();
 1)   0.408 us    |                        anon_vma_interval_tree_remove();
 1)   0.397 us    |                        kmem_cache_free();
 1)   0.360 us    |                        up_write();
 1)   3.505 us    |                      }
 1)               |                      unlink_file_vma() {
 1)   0.360 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.480 us    |                          vma_interval_tree_remove();
 1)   1.176 us    |                        }
 1)   0.360 us    |                        up_write();
 1)   3.265 us    |                      }
 1)               |                      unlink_anon_vmas() {
 1)   0.360 us    |                        down_write();
 1)   0.384 us    |                        anon_vma_interval_tree_remove();
